question,context
What is the Yale-Brown Obsessive Compulsive Scale?,The Yale-Brown Obsessive Compulsive Scale: A Reliability Generalization Meta-Analysis.
What is the EEG for neurological prognostication after cardiac arrest?,Electroencephalography (EEG) for neurological prognostication after cardiac arrest and targeted temperature management; rationale and study design.
What is the cause of fetal programming induced by prenatal hypoxia?,"Adverse conditions prenatally increase the risk of cardiovascular disease, including hypertension. Chronic hypoxia in utero (CHU) causes endothelial dysfunction, but whether sympathetic vasoconstrictor nerve functioning is altered is unknown. We, therefore, compared in male CHU and control (N) rats muscle sympathetic nerve activity, vascular sympathetic innervation density, and mechanisms of sympathetic vasoconstriction. In young (Y)-CHU and Y-N rats ( approximately 3 months), baseline arterial blood pressure was similar. However, tonic muscle sympathetic nerve activity recorded focally from arterial vessels of spinotrapezius muscle had higher mean frequency in Y-CHU than in Y-N rats (0.56+/-0.075 versus 0.33+/-0.036 Hz), and the proportions of single units with high instantaneous frequencies (1-5 and 6-10 Hz) being greater in Y-CHU rats. Sympathetic innervation density of tibial arteries was approximately 50% greater in Y-CHU than in Y-N rats. Increases in femoral vascular resistance evoked by sympathetic stimulation at low frequency (2 Hz for 2 minutes) and bursts at 20 Hz were substantially smaller in Y-CHU than in Y-N rats. In Y-N only, the neuropeptide Y Y1-receptor antagonist BIBP3226 attenuated these responses. By contrast, baseline arterial blood pressure was higher in middle-aged (M)-CHU than in M-N rats ( approximately 9 months; 139+/-3 versus 126+/-3 mm Hg, respectively). BIBP3226 had no effect on femoral vascular resistance increases evoked by 2 Hz or 20 Hz bursts in M-N or M-CHU rats. These results indicate that fetal programming induced by prenatal hypoxia causes an increase in centrally generated muscle sympathetic nerve activity in youth and hypertension by middle age. This is associated with blunting of sympathetically evoked vasoconstriction and its neuropeptide Y component that may reflect premature vascular aging and contribute to increased risk of cardiovascular disease."
What was the name of the study that was conducted from January 1990 through May 2014?,"Importance: Several management strategies may improve outcomes in patients with Staphylococcus aureus bacteremia. Objectives: To review evidence of management strategies for S aureus bacteremia to determine whether transesophageal echocardiography is necessary in all adult cases and what is the optimal antibiotic therapy for methicillin-resistant S aureus (MRSA) bacteremia. Evidence Review: A PubMed search from inception through May 2014 was performed to identify studies addressing the role of transesophageal echocardiography in S aureus bacteremia. A second search of PubMed, EMBASE, and the Cochrane Library from January 1990 through May 2014 was performed to find studies addressing antibiotic treatment for MRSA bacteremia. Studies reporting outcomes from antibiotic therapy for MRSA bacteremia were included. All searches, which were limited to English and focused on adults, were augmented by review of bibliographic references from included studies. The quality of evidence was assessed using the Grades of Recommendation, Assessment, Development and Evaluation system with consensus of independent evaluations by at least 2 of the authors. Findings: In 9 studies with a total of 4050 patients, use of transesophageal echocardiography was associated with higher rates of a diagnosis of endocarditis (14%-28%) compared with transthoracic echocardiography (2%-15%). In 4 studies, clinical or transthoracic echocardiography findings did not predict subsequent transesophageal echocardiography findings of endocarditis. Five studies identified clinical or transthoracic echocardiography characteristics associated with low risk of endocarditis (negative predictive values from 93% to 100%). Characteristics associated with a low risk of endocarditis include absence of a permanent intracardiac device, sterile follow-up blood cultures within 4 days after the initial set, no hemodialysis dependence, nosocomial acquisition of S aureus bacteremia, absence of secondary foci of infection, and no clinical signs of infective endocarditis. Of 81 studies of antibiotic therapy for MRSA bacteremia, only 1 high-quality trial was identified. In that study of 246 patients with S aureus bacteremia, daptomycin was not inferior to vancomycin or an antistaphylococcal penicillin, each in combination with low-dose, short-course gentamicin (clinical success rate, 44.2% [53/120] vs 41.7% [48/115]; absolute difference, 2.4% [95% CI, -10.2% to 15.1%]). Conclusions and Relevance: All adult patients with S aureus bacteremia should undergo echocardiography. Characteristics of low-risk patients with S aureus bacteremia for whom transesophageal echocardiography can be safely avoided have been identified. Vancomycin and daptomycin are the first-line antibiotic choices for MRSA bacteremia. Well-designed studies to address the management of S aureus bacteremia are needed."
"What is the difference between ""insiders"" and ""outsiders""?","BACKGROUND: It is unclear whether participation in a randomized controlled trial (RCT), irrespective of assigned treatment, is harmful or beneficial to participants. We compared outcomes for patients with the same diagnoses who did (""insiders"") and did not (""outsiders"") enter RCTs, without regard to the specific therapies received for their respective diagnoses. METHODS: By searching the MEDLINE (1966-2010), Embase (1980-2010), CENTRAL (1960-2010) and PsycINFO (1880-2010) databases, we identified 147 studies that reported the health outcomes of ""insiders"" and a group of parallel or consecutive ""outsiders"" within the same time period. We prepared a narrative review and, as appropriate, meta-analyses of patients' outcomes. RESULTS: We found no clinically or statistically significant differences in outcomes between ""insiders"" and ""outsiders"" in the 23 studies in which the experimental intervention was ineffective (standard mean difference in continuous outcomes -0.03, 95% confidence interval [CI] -0.1 to 0.04) or in the 7 studies in which the experimental intervention was effective and was received by both ""insiders"" and ""outsiders"" (mean difference 0.04, 95% CI -0.04 to 0.13). However, in 9 studies in which an effective intervention was received only by ""insiders,"" the ""outsiders"" experienced significantly worse health outcomes (mean difference -0.36, 95% CI -0.61 to -0.12). INTERPRETATION: We found no evidence to support clinically important overall harm or benefit arising from participation in RCTs. This conclusion refutes earlier claims that trial participants are at increased risk of harm."
What was the anti-IL-17 antibody secukinumab and the anti-IL,"Unmet therapeutic needs in Behcet's disease have drawn recent attention to biological agents targeting cytokines other than TNF. The anti-IL-17 antibody secukinumab and the anti-IL-2 receptor antibody daclizumab were not superior to placebo for ocular Behcet's in randomised controlled trials, comprising 118 and 17 patients, respectively. The anti-IL-1 agents anakinra and canakinumab and the anti-IL-6 agent tocilizumab were given to isolated refractory disease patients, who were either anti-TNF naive (n=9) or experienced (n=18). No new safety signals were reported. Although a potential for bias to report positive effects and underreport negative cases may exist, Anakinra was partially effective, whereas disease remission was noted after canakinumab in some anti-TNF resistant patients. Tocilizumab appeared effective for neuro-Behcet's, but not for mucocutaneous manifestations. Finally, in a pilot study of 7 patients with relapsing posterior uveitis refractory to azathioprine and/or cyclosporine, the anti-IL-1beta antibody Gevokizumab was beneficial. Collectively, it seems that IL-1 and IL-6 are promising targets in patients refractory or intolerant to other regimens including anti-TNFs. However, controlled studies are surely needed."
What is the primary outcome of the study?,"BACKGROUND: Physical therapy is recommended for the management of axial spondyloarthritis (axSpA) and flexibility exercises have traditionally been the main focus. Cardiovascular (CV) diseases are considered as a major health concern in axSpA and there is strong evidence that endurance and strength exercise protects against CV diseases. Therefore, the aim of this study was to investigate the efficacy of high intensity endurance and strength exercise on disease activity and CV health in patients with active axSpA. METHODS: In a single blinded randomized controlled pilot study the exercise group (EG) performed 12 weeks of endurance and strength exercise while the control group (CG) received treatment as usual. The primary outcome was the Ankylosing Spondylitis (AS) Disease Activity Score (ASDAS). Secondary outcomes included patient reported disease activity (Bath AS Disease Activity Index [BASDAI]), physical function (Bath AS Functional Index [BASFI]), and CV risk factors measured by arterial stiffness (Augmentation Index [Alx]) and Pulse Wave Velocity [PWV]), cardiorespiratory fitness (VO2 peak) and body composition. ANCOVA on the post intervention values with baseline values as covariates was used to assess group differences, and Mann Whitney U-test was used for outcomes with skewed residuals. RESULTS: Twenty-eight patients were included and 24 (EG, n = 10, CG, n = 14) completed the study. A mean treatment effect of -0.7 (95%CI: -1.4, 0.1) was seen in ASDAS score. Treatment effects were also observed in secondary outcomes (mean group difference [95%CI]): BASDAI: -2.0 (-3.6, -0.4), BASFI: -1.4 (-2.6, -0.3), arterial stiffness (estimated median group differences [95% CI]): AIx (%): -5.3 (-11.0, -0.5), and for PVW (m/s): -0.3 (-0.7, 0.0), VO2 peak (ml/kg/min) (mean group difference [95%CI]: 3.7 (2.1, 5.2) and trunk fat (%): -1.8 (-3.0, -0.6). No adverse events occurred. CONCLUSION: High intensity exercise improved disease activity and reduced CV risk factors in patients with active axSpA. These effects will be further explored in a larger trial. TRIAL REGISTRATION: ClinicalTrials.gov NCT01436942."
MiR-34a Inhibits Migration and Invasion of Tongue Squa,miR-34a Inhibits Migration and Invasion of Tongue Squamous Cell Carcinoma via Targeting MMP9 and MMP14.
What is the incidence of MM?,"Multiple myeloma (MM) is with an incidence of 4-6/100 000 inhabitants a fairly frequent malignancy of B cells. The incidence increases markedly with age. In this review changes in the treatment of relapsed / refractory myeloma during the last decade have been analysed. The present standard of care in the progressive or refractory myeloma was elaborated by the working group ""Refractory Multiple Myeloma"" using an extensive literature search for studies published between 2003 and 2013. Outside of clinical trials, high-dose therapy with stem cell transplantation is recommended in fit patients up to 75 years without significant comorbidities. Ongoing studies address the question about the least toxic and the most effective treatment. Therefore, inclusion of patients in therapeutic trials and use of novel agent combinations is highly recommended, e. g. with 3rd generation-IMIDs (pomalidomide), new proteasome inhibitors, such as carfilzomib, ixazomib or oprozomib, antibodies, such as elotuzumab, daratumumab or SAR650984, siltuximab, tabalumab, denosumab, romosozumab, BTK-, HSP-inhibitors and other innovative phase I/II agents. Conclusion: Based on new insights in the pathogenesis of the disease, treatment options for MM have changed significantly in recent years. There is a significantly larger treatment diversity, i. e. more MM-active agents and combinations are available today. Even with relapsed MM, patients with the disease often live longer and have fewer complications."
What is the pattern recognition analysis of H NMR?,Visualization of different characteristics of cerebrospinal fluid with acute encephalopathy and febrile seizures using pattern recognition analysis of H NMR.
What is the name of the saponin glycoside called?,"ETHNOPHARMACOLOGICAL RELEVANCE: The roots and rhizomes of Smilax riparia (SR), called ""Niu-Wei-Cai"" in traditional Chinese medicine (TCM), are believed to be effective in treating hyperuricemia and gout symptoms. This study was designed to isolate a saponin glycoside named pallidifloside D from the total saponins of S. riparia and to examine its effect in reducing serum uric acid levels in a hyperuricemic mouse model induced by potassium oxonate. MATERIALS AND METHODS: We examined the effects of pallidifloside D treated with 5, 10 and 20mg/kg on serum uric acid levels (SUA), Serum creatinine (SCr) and blood urea nitrogen (BUN) levels in a hyperuricemic mouse. Colorimetric method was used to evaluate the effects of pallidifloside D on the XOD activities, and Western Blotting analysis were carried out to observe protein levels of mURAT1, mGLUT9 and mOTA1 in hyperuricemic mice after treatment with pallidifloside D. RESULTS: The levels of serum uric acid levels (SUA) were suppressed significantly with dose-dependence by pallidifloside D treated with 5, 10 and 20mg/kg (p<0.05, p<0.01 and p<0.01 respectively). Pallidifloside D could down-regulate the expression levels of renal mURAT1 protein in hyperuricemic mice in a dose-dependent manner (p<0.05, p<0.01, and p<0.001 respectively), and the protein levels of mGLUT9 could be down-regulated with dose-dependence (p<0.05 and p<0.01 respectively) by pallidifloside D at the dose of 10 and 20mg/kg. CONCLUSION: These results suggest that pallidifloside D possesses potent uricosuric effect in hyperuricemic mice through decreasing renal mURAT1 and GLUT9, which contribute to the enhancement of uric acid excretion and attenuate hyperuricemia-induced renal dysfunction."
What is the cause of a cutaneous adverse reaction to calcium channel blockers?,Cutaneous adverse reactions to calcium channel blockers.
What is the name of the sensorized nuss bar for patient-specific treatment of Pe,A Sensorized Nuss Bar for Patient-Specific Treatment of Pectus Excavatum.
What is the channel activity of the individual N- and C-lobes of cal,The individual N- and C-lobes of calmodulin tether to the Cav1.2 channel and rescue the channel activity from run-down in ventricular myocytes of guinea-pig heart.
What is the effect of home-based Interval Walking Training on Thigh Muscle Strength and,"Effects of Home-Based Interval Walking Training on Thigh Muscle Strength and Aerobic Capacity in Female Total Hip Arthroplasty Patients: A Randomized, Controlled Pilot Study."
"What is the effect of combined oral contraceptives on the systemic blood pressure, metabolic variables","The use of combined oral contraceptives is widespread among hypertensive women despite being associated with increased cardiovascular risk. Contraceptives containing drospirenone, which has antimineralocorticoid properties, may have a positive or neutral effect on neurohumoral activation and metabolic homeostasis of hypertensive women at reproductive age. OBJECTIVES: To evaluate the effect of combined oral contraceptive containing drospirenone+ethinylestradiol on the systemic blood pressure, metabolic variables and neurohumoral axis in hypertensive women in reproductive age. DESIGN: Prospective controlled trial with 56 hypertensive women allocated in two groups: 30 volunteers under oral combined contraceptive use and 26 volunteers using non-hormonal contraceptive methods. Subjects were tested before the introduction of the contraceptive method and 6 months after its use. For data acquisition, we used continuous non-invasive beat-to-beat blood pressure curve recordings and, for the biochemical and hormonal analyses two blood samples were obtained. Student's t test was used to determine differences between groups and moments and p<0.05 was considered statistically signi fi cant. RESULTS: Comparing antropometric and blood pressure measurements, cardiac sympatho-vagal modulation, baroreceptor sensitivity, metabolic and neurohumoral axis variables between baseline and after 6 months, no signi fi cant difference was detected in each group or between groups. Except serum triglyceride levels which increased in the group of women using EE+DRSP after 6 months of use. CONCLUSION: A contraceptive containing 20mcg of ethinyl estradiol and 3mg of drospirenone causes no signi fi cant changes in clinical and autonomic parameters, metabolic variables and neurohumoral axis of hypertensive women."
What was the true AUC value for 10mm benign and 20mm malignant lesions?,"PURPOSE: To quantitatively evaluate temporal blurring of dynamic contrast-enhanced MRI data generated using a k-space weighted image contrast (KWIC) image reconstruction technique with golden-angle view-ordering. METHODS: K-space data were simulated using golden-angle view-ordering and reconstructed using a KWIC algorithm with a Fibonacci number of views enforced for each annulus in k-space. Temporal blurring was evaluated by comparingpharmacokinetic model parameters estimated from the simulated data with the true values. Diagnostic accuracy was quantified using receiver operator characteristic curves (ROC) and the area under the ROC curves (AUC). RESULTS: Estimation errors of pharmacokinetic model parameters were dependent on the true curve type and the lesion size. For 10mm benign and malignant lesions, estimated AUC values using the true and estimate AIFs were consistent with the true AUC value. For 5mm benign and 20mm malignant lesions, estimated AUC values using the true and estimated AIFs were 0.906+/-0.020 and 0.905+/-0.021, respectively, as compared with the true AUC value of 0.896. CONCLUSIONS: Although the investigated reconstruction algorithm does impose errors in pharmacokinetic model parameter estimation, they are not expected to significantly impact clinical studies of diagnostic accuracy."
What is the type I of mucopolysaccharidosis?,Liver-directed gene therapy corrects cardiovascular lesions in feline mucopolysaccharidosis type I.
What is the name of the new intraoperative radiation therapy system?,"Using in-house-designed phantoms, the authors evaluated radiation exposure rates in the vicinity of a newly acquired intraoperative radiation therapy (IORT) system: Axxent Electronic Brachytherapy System. The authors also investigated the perimeter radiation levels during three different clinical intraoperative treatments (breast, floor of the mouth and bilateral neck cancer patients). Radiation surveys during treatment delivery indicated that IORT using the surface applicator and IORT using balloons inserted into patient body give rise to exposure rates of 200 mR h-1, 30 cm from a treated area. To reduce the exposure levels, movable lead shields should be used as they reduce the exposure rates by >95 %. The authors' measurements suggest that intraoperative treatment using the 50-kVp X-ray source can be administered in any regular operating room without the need for radiation shielding modification as long as the operators utilise lead aprons and/or stand behind lead shields."
What is Pain Management for Children during Bone Marrow and Stem Cell Transplantation?,Pain Management for Children during Bone Marrow and Stem Cell Transplantation.
What is the role of MCs in the expansion of IL-10-competent,"The discovery of B cell subsets with regulatory properties, dependent on IL-10 production, has expanded our view on the mechanisms that control inflammation. Regulatory B cells acquire the ability to produce IL-10 in a stepwise process: first, they become IL-10 competent, a poised state in which B cells are sensitive to trigger signals but do not actually express the Il-10 gene; then, when exposed to appropriate stimuli, they start producing IL-10. Even if the existence of IL-10-competent B cells is now well established, it is not yet known how different immune cell types cross talk with B cells and affect IL-10-competent B cell differentiation and expansion. Mast cells (MCs) contribute to the differentiation and influence the effector functions of various immune cells, including B lymphocytes. In this study, we explored whether MCs could play a role in the expansion of IL-10-competent B cells and addressed the in vivo relevance of MC deficiency on the generation of these cells. We show that MCs can expand IL-10-competent B cells, but they do not directly induce IL-10 production; moreover, the absence of MCs negatively affects IL-10-competent B cell differentiation. Noteworthy, our findings reveal that the CD40L/CD40 axis plays a significant role in MC-driven expansion of IL-10-competent B cells in vitro and highlight the importance of MC CD40L signaling in the colon."
What is the rare clear cell malignancy?,"Clear cell melanoma is a rare clear cell malignancy. Accurate diagnosis of clear cell melanoma requires integration of immunohistochemical and morphologic findings, with molecular studies to rule out clear cell sarcoma. The differential diagnosis includes melanoma, carcinoma, perivascular epithelioid cell tumor, and epidermotropic clear cell sarcoma. We use a case of a lesion on the helix of an 86-year-old man as an example. Histologic examination revealed an ulcerated clear cell malignant tumor. Tumor cell cytoplasm contained periodic acid-Schiff-positive, diastase-sensitive glycogen. Tumor cells showed positive labeling for S100, HMB-45, and Melan-A, and negative labeling for cytokeratins, p63, and smooth muscle actin. Molecular studies demonstrated BRAF V600E mutation, copy gains at the 6p25 (RREB1) and 11q13 (CCND1) loci, and absence of EWSR1-ATF1 fusion. These findings supported a diagnosis of clear cell melanoma. The rare pure clear cell morphology occurs due to accumulation of intracytoplasmic glycogen. We review the differential diagnosis of clear cell melanoma and describe the utility of immunohistochemical and molecular studies in confirming this diagnosis."
What was the first retinal abnormalities detectable in DCMD?,"OBJECTIVE: To describe the clinical characteristics and long-term follow-up in patients with autosomal dominant cystoid macular dystrophy (DCMD). DESIGN: Retrospective case series. PARTICIPANTS: Ninety-seven patients with DCMD. METHODS: Extensive ophthalmic examination, including visual acuity (VA), fundus photography, fluorescein angiography (FA), fundus autofluorescence (FAF) imaging, optical coherence tomography (OCT), color vision testing, dark adaptation testing, full-field electroretinography (ERG), and electro-oculography (EOG). Blood samples were obtained for DNA extraction and subsequent haplotype analysis. MAIN OUTCOME MEASURES: Age at onset, VA, fundus appearance, and characteristics on FA, FAF, OCT, ERG, and EOG. RESULTS: Cystoid fluid collections (CFCs) were the first retinal abnormalities detectable in DCMD, developing during childhood. At long-term follow-up, the CFCs decreased in size and number, and eventually disappeared with concurrent development of progressive chorioretinal atrophy and hyperpigmented deposits in the posterior pole. Dominant cystoid macular dystrophy could be classified into 3 stages, based on characteristics on ophthalmoscopy, FAF, FA, and OCT, as well as on results of electrophysiologic analysis. The staging system correlated with age and VA. In stage 1 DCMD (20 patients; 22%), patients generally were younger than 20 years and had CFCs with fine folding of the internal limiting membrane and mild pigment changes. In stage 2 DCMD (48 patients; 52%), the CFCs tended to decrease in size, and moderate macular chorioretinal atrophy developed. Patients with stage 3 DCMD (24 patients; 26%) generally were older than 50 years and showed profound chorioretinal atrophy, as well as coarse hyperpigmented deposits in the posterior pole. Most patients were (highly) hyperopic (72 patients; 92%). All DCMD patients shared the disease haplotype at the DCMD locus at 7p15.3. CONCLUSIONS: Dominant cystoid macular dystrophy is a progressive retinal dystrophy, characterized primarily by early-onset cystoid fluid collections in the neuroretina, which distinguishes this disorder from other retinal dystrophies. The phenotypic range of DCMD can be classified into 3 stages. The genetic locus for this retinal dystrophy has been mapped to 7p15.3, but the involved gene is currently unknown."
What is the first-line bevacizumab-containing therapy for advanced breast cancer,Selecting first-line bevacizumab-containing therapy for advanced breast cancer: TURANDOT risk factor analyses.
How many eyes were enrolled in the combined surgery group?,"PURPOSE: To compare the results of combined and consecutive surgeries to treat proliferative diabetic retinopathy and cataract. METHODS: Retrospective comparative study. Forty-one patients with proliferative diabetic retinopathy (PDR) were enrolled. Twenty-nine eyes for the combined surgery group and twelve eyes for the sequential group were included. All surgeries were performed by one surgeon. Phacoemulsification was performed using a clear cornea incision. The vitrectomy was performed using a 20-gauge vitreous cutter. RESULTS: The best corrected visual acuity (BCVA) and intra- and post-operative complications were the main outcome measures. In the combined surgery group, the BCVA increased in 18 (62.1%) eyes, while eight (27.6%) eyes remained stable and three (10.3%) eyes decreased. Postoperative complications included fibrinous exudation in nine eyes, macular edema in three eyes and vitreous hemorrhage in three eyes. In the sequential surgery group, the BCVA increased in seven (58.3%) eyes, remained the same in four (33.3%) eyes and was reduced in one (8.3%) eye. Postoperative complications included macular edema in two eyes, neovascular glaucoma in two eyes and vitreous hemorrhage in one eye. CONCLUSIONS: Both combined and sequential surgeries are safe and effective for treating PDR and cataracts. The combined surgery had a higher incidence of fibrinous exudation."
What is the name of the neoplastic treatment that is a cornerstone of,"Since its introduction in the early nineties as a promising functional imaging technique in the management of neoplastic disorders, FDG-PET, and subsequently FDG-PET/CT, has become a cornerstone in several oncologic procedures such as tumor staging and restaging, treatment efficacy assessment during or after treatment end and radiotherapy planning. Moreover, the continuous technological progress of image generation and the introduction of sophisticated software to use PET scan as a biomarker paved the way to calculate new prognostic markers such as the metabolic tumor volume (MTV) and the total amount of tumor glycolysis (TLG). FDG-PET/CT proved more sensitive than contrast-enhanced CT scan in staging of several type of lymphoma or in detecting widespread tumor dissemination in several solid cancers, such as breast, lung, colon, ovary and head and neck carcinoma. As a consequence the stage of patients was upgraded, with a change of treatment in 10%-15% of them. One of the most evident advantages of FDG-PET was its ability to detect, very early during treatment, significant changes in glucose metabolism or even complete shutoff of the neoplastic cell metabolism as a surrogate of tumor chemosensitivity assessment. This could enable clinicians to detect much earlier the effectiveness of a given antineoplastic treatment, as compared to the traditional radiological detection of tumor shrinkage, which usually takes time and occurs much later."
What is the purpose of RADIATION SAFETY CONSIDERATION?,RADIATION SAFETY CONSIDERATION DURING INTRAOPERATIVE RADIATION THERAPY.
What is the percentage of PSMI screening behavior among PSMI?,"OBJECTIVES: Screening is useful in reducing cancer incidence and mortality. People with severe mental illness (PSMI) are vulnerable to cancer as they are exposed to higher levels of cancer risks. Little is known about PSMI's cancer screening behavior and associated factors. The present study examined the utilization of breast, cervical, prostate, and colorectal cancer screening among PSMI in Hong Kong and to identify factors associated with their screening behaviors. METHOD: 591 PSMI from community mental health services completed a cross-sectional survey. RESULTS: The percentage of cancer screening behavior among those who met the criteria for particular screening recommendation was as follows: 20.8% for mammography; 36.5% for clinical breast examination (CBE); 40.5% for pap-smear test; 12.8% for prostate examination; and 21.6% for colorectal cancer screening. Results from logistic regression analyses showed that marital status was a significant factor for mammography, CBE, and pap-smear test; belief that cancer can be healed if found early was a significant factor for pap-smear test and colorectal screening; belief that one can have cancer without having symptoms was a significant factor for CBE and pap-smear test; belief that one will have a higher risk if a family member has had cancer was a significant factor for CBE; and self-efficacy was a significant factor for CBE and pap-smear test behavior. CONCLUSIONS: Cancer screening utilization among PSMI in Hong Kong is low. Beliefs about cancer and self-efficacy are associated with cancer screening behavior. Health care professionals should improve the knowledge and remove the misconceptions about cancer among PSMI; self-efficacy should also be promoted."
What was the embolism area measured using?,"OBJECTIVE: We tested whether correlation between embolism area and pulmonary arterial pressure may serve as an indicator of pulmonary arterial hypertension in patients with acute pulmonary thromboembolism. PATIENTS AND METHODS: In total, 204 patients who underwent spiral computed tomography (CT) pulmonary angiography and ultrasonic cardiogram were enrolled. The patients were stratified according to their pulmonary arterial systolic pressure into those with normal values, or those with mild, moderate, or severe pulmonary arterial hypertension. The embolism area was quantified using Qanadli score. RESULTS: We found that embolism area correlated positively with pulmonary arterial systolic pressure (r = 0.514). Specifically, embolism areas of four study groups were, respectively, 17.72 +/- 13.61%, 18.25 +/- 13.78%, 33.39 +/- 10.99%, 40.46 +/- 15.75%, obviously increasing along with progression of the disease. Pulmonary arterial systolic pressure was above 41 mm Hg when the embolism area was >33%, and above 70 mm Hg with the embolism area of > 40%. CONCLUSIONS: Assessment of the embolism area is useful in the clinical evaluation of pulmonary arterial systolic pressure, but appears to be more applicable to moderate and severe pulmonary arterial hypertension."
What is the name of the ERK and Akt Pathway?,Urotensin II Inhibits Doxorubicin-Induced Human Umbilical Vein Endothelial Cell Death by Modulating ATF Expression and via the ERK and Akt Pathway.
What is the most commonly used language in the Western Pacific and Southeast Asia?,"Motorcycles are the leading cause of road traffic deaths in the Western Pacific and Southeast Asia, where Mandarin Chinese is the most commonly used language. Sensation seeking (SS) is reported to correlate with many risky motor vehicle behaviors, and therefore a culture-adapted Chinese instrument is needed to assess this personality trait in Chinese-speaking motorcycling populations. The standard front and blinded-backward process was carried out to formulate the Chinese-language Brief Sensation Seeking Scale (C-BSSS). 193 parental motorcyclists who rode with their young children were interviewed concerning their SS levels, demographics, riding behaviors, and the driving/riding experiences. A random sample of 30 subjects was re-interviewed 1-2 weeks later to examine the test-retest reliability. Psychometric analyses revealed satisfactory item characteristics, internal consistency, intraobserver reliability, and interobserver reliability. Additionally, parental motorcyclists who had the following characteristics were more likely to be the high sensation seekers (SSers), including male, younger age, presenting risky motor vehicle behaviors of themselves (e.g., higher riding speeds, operating after drinking, using a mobile phone while operating, and receiving a traffic ticket), and carrying child passengers who demonstrated dangerous motorcycling behaviors (e.g., a younger age, non-helmeted, and overloaded). We conclude that the C-BSSS is a useful and reliable measure of SS for ethnic Chinese populations. This instrument may be helpful to develop the future prevention strategy of motorcycle injuries in Chinese parental motorcyclists and their young child passengers."
What was the average age of the study?,"A case-control study among Singapore Armed Forces' newly enlisted Servicemen was conducted to examine factors associated with male obesity. Four hundred and fifty-nine individuals from the Obese Basic Military Training program were selected as ""cases"" (average age: 19.5, body mass index: 30.4) and another 340 individuals were selected from the Normal Basic Military Training program as ""controls"" (average age: 19.3, body mass index: 21.4). Information such as family background, socioeconomic factors, and lifestyle practices were captured using facilitator-led questionnaires. Several variables were significantly associated with obesity after adjustments for possible confounders. These include childhood obesity (odds ratio [OR] = 2.06), less than an hour of exercise per day (OR = 2.97), Indian ethnicity (OR = 2.22), specific education backgrounds (especially that of Institute of Technical Education-OR = 2.75), father's employment at nonmanagerial/professional jobs (OR = 1.52), mother's employment at managerial/professional jobs (OR = 2.02), regular smoking (OR = 1.73) and alcohol consumption (OR = 2.26), 6 hours or less of sleep (OR = 3.73), obesity among family members (OR = 1.86 for mother; OR = 2.98 for siblings), parental history of diabetes mellitus (OR = 2.22 for father; OR = 2.70 for mother), and eating at inexpensive local food stalls (OR = 1.82). Our study found that a number of factors, ranging from personal and family backgrounds to lifestyle choices, were significantly associated with obesity among male youths."
What is the fetal insulin/insulin-like growth factor system?,Diabetes-associated changes in the fetal insulin/insulin-like growth factor system are organ specific in rats.
What is the Correlation Between Clinicopathological Features?,In Situ Assessment Of Pi3k And Pten Alterations In Mycosis Fungoides: Correlation With Clinicopathological Features.
What is the name of the emerging drug problem in Asia?,Emerging drug problems in Asia.
What is the etiologically and morphologically heterogeneous group,"Context.-Neutrophilic panniculitis encompasses an etiologically and morphologically heterogeneous group of disorders. Correct histopathologic diagnosis is important in identifying certain systemic diseases and guiding appropriate treatment. Objective.-To review the clinical and histopathologic features of different types of neutrophilic panniculitis, and to provide a diagnostic algorithm for these disorders. Data Sources.-A review of the literature with emphasis on the distinguishing features of different entities was performed. Conclusions.-Evaluation for neutrophilic panniculitis entails paying close attention to the pattern of inflammation, the type of fat necrosis present, any evidence of vascular damage, and other relevant histopathologic features. An algorithmic approach integrating all histopathologic, clinical, and laboratory findings is required for correct diagnosis."
What are the immunophenotypes of different stem cell types?,"Immunomodulators regulate stem cell activity at all stages of development as well as during adulthood. Embryonic stem cell (ESC) proliferation as well as neurogenic processes during embryonic development are controlled by factors of the immune system. We review here immunophenotypic expression patterns of different stem cell types, including ESC, neural (NSC) and tissue-specific mesenchymal stem cells (MSC), and focus on immunodulatory properties of these cells. Immune and inflammatory responses, involving actions of cytokines as well as toll-like receptor (TLR) signaling are known to affect the differentiation capacity of NSC and MSC. Secretion of pro- and anti-inflammatory messengers by MSC have been observed as the consequence of TLR and cytokine activation and promotion of differentiation into specified phenotypes. As result of augmented differentiation capacity, stem cells secrete angiogenic factors including vascular endothelial growth factor, resulting in multifactorial actions in tissue repair. Immunoregulatory properties of tissue specific adult stem cells are put into the context of possible clinical applications."
What is the name of the ATP-Binding Cassette Transporters,Repositioning of Tyrosine Kinase Inhibitors as Antagonists of ATP-Binding Cassette Transporters in Anticancer Drug Resistance.
What is the IMC's name?,Gr-1+CD11b+ Immature Myeloid Cells (IMC) Promote Resistance of Pro-Inflammatory T Cells to Suppression by Regulatory T Cells in Atherosclerotic Apo E- Deficient Mice.
